index,people,doorOpen,doorLocked,timestamp,peopleAllowd
535,0,0,1,5/4/2021 11:50,9
536,0,0,1,5/4/2021 11:50,9
537,0,1,0,5/4/2021 11:50,9
538,0,1,0,5/4/2021 11:50,9
539,0,0,1,5/4/2021 11:50,9
540,0,0,1,5/4/2021 11:50,9
541,0,1,0,5/4/2021 11:50,9
542,0,0,1,5/4/2021 11:50,9
543,0,1,0,5/4/2021 11:50,9
544,0,1,0,5/4/2021 11:50,9
545,0,0,1,5/4/2021 11:50,9
546,0,0,1,5/4/2021 11:50,9
547,0,1,0,5/4/2021 11:50,9
548,0,1,0,5/4/2021 11:50,9
549,0,1,0,5/4/2021 11:50,9
550,0,0,1,5/4/2021 11:50,9
551,0,0,1,5/4/2021 11:50,9
552,0,1,0,5/4/2021 11:51,9
553,0,1,0,5/4/2021 11:51,9
554,0,1,0,5/4/2021 11:51,9
555,0,0,0,5/4/2021 11:51,9
556,0,0,1,5/4/2021 11:51,9
557,0,1,0,5/4/2021 11:51,9
558,0,1,0,5/4/2021 11:51,9
559,0,0,1,5/4/2021 11:52,9
560,0,0,1,5/4/2021 11:52,9
561,0,1,0,5/4/2021 11:52,9
562,0,1,0,5/4/2021 11:52,9
563,0,0,1,5/4/2021 11:52,9
564,0,0,1,5/4/2021 11:52,9
565,0,0,1,5/4/2021 11:52,9
566,0,1,0,5/4/2021 11:52,9
567,0,1,0,5/4/2021 11:52,9
568,0,1,0,5/4/2021 11:56,9
569,0,1,0,5/4/2021 11:57,9
570,0,1,0,5/4/2021 11:58,9
571,0,0,1,5/4/2021 11:58,9
572,0,0,1,5/4/2021 11:58,9
573,0,0,1,5/4/2021 11:58,9
574,0,1,0,5/4/2021 11:58,9
575,0,1,0,5/4/2021 11:58,9
576,0,0,1,5/4/2021 11:58,9
577,0,0,1,5/4/2021 11:58,9
578,0,1,0,5/4/2021 11:58,9
579,0,1,0,5/4/2021 11:58,9
580,0,0,1,5/4/2021 11:58,9
581,0,0,1,5/4/2021 11:58,9
582,0,0,0,5/4/2021 11:58,9
583,0,0,1,5/4/2021 11:58,9
584,0,0,1,5/4/2021 11:58,9
585,0,0,1,5/4/2021 11:58,9
586,0,1,0,5/4/2021 11:59,9
587,0,1,0,5/4/2021 11:59,9
588,1,1,0,5/4/2021 11:59,9
589,0,1,0,5/4/2021 11:59,9
590,0,0,1,5/4/2021 11:59,9
591,0,0,1,5/4/2021 11:59,9
592,0,1,0,5/4/2021 11:59,9
593,0,1,0,5/4/2021 11:59,9
594,0,0,0,5/4/2021 11:59,9
595,0,0,1,5/4/2021 11:59,9
596,0,0,1,5/4/2021 11:59,9
597,0,1,0,5/4/2021 11:59,9
598,0,1,0,5/4/2021 11:59,9
599,1,1,0,5/4/2021 12:00,9
600,2,1,0,5/4/2021 12:00,9
601,3,1,0,5/4/2021 12:00,9
602,4,1,0,5/4/2021 12:00,9
603,5,1,0,5/4/2021 12:00,9
604,6,1,0,5/4/2021 12:00,9
605,7,1,0,5/4/2021 12:00,9
606,8,1,0,5/4/2021 12:00,9
607,9,1,0,5/4/2021 12:00,9
608,10,1,0,5/4/2021 12:00,9
609,9,1,0,5/4/2021 12:00,9
610,8,1,0,5/4/2021 12:00,9
611,7,1,0,5/4/2021 12:00,9
612,6,1,0,5/4/2021 12:00,9
613,5,1,0,5/4/2021 12:00,9
614,6,1,0,5/4/2021 12:00,9
615,5,1,0,5/4/2021 12:00,9
616,4,1,0,5/4/2021 12:00,9
617,3,1,0,5/4/2021 12:00,9
618,2,1,0,5/4/2021 12:00,9
619,3,1,0,5/4/2021 12:00,9
620,4,1,0,5/4/2021 12:00,9
621,5,1,0,5/4/2021 12:00,9
622,6,1,0,5/4/2021 12:01,9
623,7,1,0,5/4/2021 12:01,9
624,8,1,0,5/4/2021 12:01,9
625,9,1,0,5/4/2021 12:01,9
626,10,1,0,5/4/2021 12:01,9
627,9,1,0,5/4/2021 12:01,9
628,8,1,0,5/4/2021 12:01,9
629,7,1,0,5/4/2021 12:01,9
630,6,1,0,5/4/2021 12:01,9
631,5,1,0,5/4/2021 12:01,9
632,4,1,0,5/4/2021 12:01,9
633,3,1,0,5/4/2021 12:01,9
634,2,1,0,5/4/2021 12:01,9
635,1,1,0,5/4/2021 12:01,9
636,2,1,0,5/4/2021 12:01,9
637,2,0,0,5/4/2021 12:01,9
638,2,1,0,5/4/2021 12:01,9
639,2,0,1,5/4/2021 12:01,9
640,2,1,0,5/4/2021 12:01,9
641,1,1,0,5/4/2021 12:01,9
642,1,1,0,5/4/2021 12:02,9
643,0,1,0,5/4/2021 12:05,9
644,0,1,0,5/4/2021 12:07,9
645,0,0,1,5/4/2021 12:07,9
646,0,0,0,5/4/2021 12:07,9
647,0,0,1,5/4/2021 12:07,9
648,0,0,0,5/4/2021 12:07,9
649,0,0,1,5/4/2021 12:07,9
650,0,0,0,5/4/2021 12:07,9
651,0,0,1,5/4/2021 12:07,9
652,0,0,0,5/4/2021 12:08,9
653,0,0,1,5/4/2021 12:08,9
654,0,0,0,5/4/2021 12:08,9
655,0,1,0,5/4/2021 12:08,9
656,1,1,0,5/4/2021 12:08,9
657,2,1,0,5/4/2021 12:08,9
658,2,0,1,5/4/2021 12:08,9
659,2,0,0,5/4/2021 12:08,9
660,2,1,0,5/4/2021 12:08,9
661,3,1,0,5/4/2021 12:08,9
662,0,1,0,5/4/2021 12:08,9
663,0,1,0,5/4/2021 12:10,9
664,0,0,1,5/4/2021 12:10,9
665,0,0,0,5/4/2021 12:10,9
666,0,1,0,5/4/2021 12:10,9
667,0,0,0,5/4/2021 12:10,9
668,0,1,0,5/4/2021 12:10,9
